Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
AAOI,102.51,3.88,8.01,86.6,6.81,450580239.0,52.03,42.82,1,1,135.06,89.97,Breakout,27.56,False
BBIO,14.2,1.85,6.8,72.9,1.38,48954511.0,10.75,10.34,1,1,62.66,29.09,Breakout,22.64,False
ULCC,35.35,3.06,5.21,79.8,0.73,162110031.0,27.56,22.34,1,1,44.52,29.16,Breakout,22.51,False
SLSN,46.08,1.35,4.9,61.5,4.79,43112783.0,41.63,38.57,1,1,22.1,13.19,Breakout,19.42,False
AMBQ,31.69,1.72,4.37,69.8,3.21,208813988.0,28.11,26.31,1,1,19.99,10.34,Breakout,19.08,False
SMP,19.65,2.8,3.81,98.4,4.19,79445397.0,16.45,14.35,1,1,37.12,12.09,Breakout,19.02,False
HFFG,178.96,2.1,3.49,67.3,2.37,422582813.0,169.31,158.33,1,1,9.16,2.96,Breakout,18.75,False
STGW,46.14,2.31,2.87,65.0,1.79,67600579.0,43.56,40.68,1,1,13.67,1.61,Breakout,18.43,False
AIRS,46.14,2.31,2.87,65.0,1.79,67600579.0,43.56,40.68,1,1,13.67,1.61,Breakout,18.43,False
CC,214.91,1.97,3.02,65.3,0.59,555899531.0,199.26,185.69,1,1,18.45,8.88,Breakout,17.98,False
DOCN,37.4,1.34,4.53,88.6,0.45,32450090.0,30.46,28.54,1,1,34.39,16.29,Breakout,17.68,False
DMRC,37.4,1.34,4.53,88.6,0.45,32450090.0,30.46,28.54,1,1,34.39,16.29,Breakout,17.68,False
UTI,37.4,1.34,4.53,88.6,0.45,32450090.0,30.46,28.54,1,1,34.39,16.29,Breakout,17.68,False
PANL,209.82,1.52,3.54,55.1,0.28,490347279.0,198.19,182.38,1,1,19.09,8.82,Breakout,17.63,False
VTEX,378.48,1.76,2.75,66.5,0.2,462081161.0,350.32,334.32,1,1,10.39,6.57,Breakout,17.15,False
